,actor_id,outcoming_neighbors_cnt,incoming_neighbors_cnt,neighbors_cnt,outcoming_tx_cnt,incoming_tx_cnt,incoming_minus_outcoming_tx_cnt,address,class
49,12KeKheRBu1eRgVgrCvAqfvE7q6kJbRAfA,0.0,102.0,102.0,0.0,2.0,2.0,12KeKheRBu1eRgVgrCvAqfvE7q6kJbRAfA,2
51,12MzajzaxFmRJ5ZUg1AsLGMymj5og6p9kK,118.0,1.0,119.0,2.0,1.0,-1.0,12MzajzaxFmRJ5ZUg1AsLGMymj5og6p9kK,2
55,12P7fH3x5ZByxuQ5AsvXiJVsKM47U81pnq,501.0,0.0,501.0,1.0,0.0,-1.0,12P7fH3x5ZByxuQ5AsvXiJVsKM47U81pnq,2
57,12PBhraHVVdazkG7zZmzJyWja7J7ejvcdW,501.0,9.0,510.0,1.0,1.0,0.0,12PBhraHVVdazkG7zZmzJyWja7J7ejvcdW,2
60,12PdqjESUdYdecTkyH4ijCtmKPvKsfg7h1,249.0,0.0,249.0,1.0,0.0,-1.0,12PdqjESUdYdecTkyH4ijCtmKPvKsfg7h1,2
62,12RLpJXmkEuN9jNTMKyBRGSwBaxS3AhBaH,1.0,155.0,156.0,1.0,1.0,0.0,12RLpJXmkEuN9jNTMKyBRGSwBaxS3AhBaH,2
64,12SWMC9x9qnw4CHuuko6CNMkZcJPiBbNCr,0.0,192.0,192.0,0.0,2.0,2.0,12SWMC9x9qnw4CHuuko6CNMkZcJPiBbNCr,2
65,12TyrmWNZx3fNRX46d9KspG7UceQhLQ5XA,92.0,65.0,157.0,1.0,1.0,0.0,12TyrmWNZx3fNRX46d9KspG7UceQhLQ5XA,2
66,12U5DxeUrVAUPGEn3ds8JNYtZfb6r9oXj4,250.0,0.0,250.0,1.0,0.0,-1.0,12U5DxeUrVAUPGEn3ds8JNYtZfb6r9oXj4,2
67,12UUwSUuNBWVXMyZyUCCMAyk7yY3zhT5YJ,10.0,98.0,108.0,1.0,1.0,0.0,12UUwSUuNBWVXMyZyUCCMAyk7yY3zhT5YJ,2
68,12UYd69nXStDLzjjjnThtuf6Lb8aRorVyx,35.0,101.0,136.0,1.0,1.0,0.0,12UYd69nXStDLzjjjnThtuf6Lb8aRorVyx,2
69,12UicibmratZNRAbyr3FdAChBMx4Y7rGbB,0.0,197.0,197.0,0.0,2.0,2.0,12UicibmratZNRAbyr3FdAChBMx4Y7rGbB,2
73,12WXBByShdunvzfuW4zTjz3PY9MJQDP88H,92.0,65.0,157.0,1.0,1.0,0.0,12WXBByShdunvzfuW4zTjz3PY9MJQDP88H,2
74,12Xmgv442qDmzZSBnEKe6LNT75J8oYfHeh,250.0,0.0,250.0,1.0,0.0,-1.0,12Xmgv442qDmzZSBnEKe6LNT75J8oYfHeh,2
77,12ZGdgxwaR1nrvk3dShaZSSDojRTBk2KSQ,94.0,69.0,163.0,2.0,2.0,0.0,12ZGdgxwaR1nrvk3dShaZSSDojRTBk2KSQ,2
79,12ZpkQU8TZXWfGpwsDxmyvNy8HUJoyM68K,15.0,104.0,119.0,1.0,2.0,1.0,12ZpkQU8TZXWfGpwsDxmyvNy8HUJoyM68K,2
80,12a7VezyMRCzg3z6a3uhRVSq9ovNL95GCH,2.0,288.0,290.0,1.0,1.0,0.0,12a7VezyMRCzg3z6a3uhRVSq9ovNL95GCH,2
81,12bGEAQHdehjXio7Up2fw8MHaApKDvoe2C,0.0,276.0,276.0,0.0,1.0,1.0,12bGEAQHdehjXio7Up2fw8MHaApKDvoe2C,2
86,12dqLBiD3jrJBfWM8dxyksdBB2LrukvrMT,500.0,0.0,500.0,1.0,0.0,-1.0,12dqLBiD3jrJBfWM8dxyksdBB2LrukvrMT,2
89,12gE4A4YjZL7p8LaizYTaswJNpsBwKnGKW,125.0,0.0,125.0,1.0,0.0,-1.0,12gE4A4YjZL7p8LaizYTaswJNpsBwKnGKW,2
90,12gY7YoFGqgKnW4X1SQyFXmvDvXVkE3miY,2.0,100.0,102.0,1.0,1.0,0.0,12gY7YoFGqgKnW4X1SQyFXmvDvXVkE3miY,2
93,12i7TqWp2TQv174QhEh5HNgk2ndDQr2JAk,501.0,0.0,501.0,1.0,0.0,-1.0,12i7TqWp2TQv174QhEh5HNgk2ndDQr2JAk,2
102,12mkCgP45pKCjbfC5YEuUQwZ8nNovaM7To,250.0,0.0,250.0,1.0,0.0,-1.0,12mkCgP45pKCjbfC5YEuUQwZ8nNovaM7To,2
104,12pqB24VMhtsWv1h7DY9WWF6HDLiSuTJ8c,249.0,0.0,249.0,1.0,0.0,-1.0,12pqB24VMhtsWv1h7DY9WWF6HDLiSuTJ8c,2
107,12rfXYpshYfckBRYybQ68vxxGrDNAzxMLB,60.0,50.0,110.0,1.0,1.0,0.0,12rfXYpshYfckBRYybQ68vxxGrDNAzxMLB,2
108,12s6VnqHBtsPvneqEDNSa6GhDcKwSnbgPN,0.0,199.0,199.0,0.0,2.0,2.0,12s6VnqHBtsPvneqEDNSa6GhDcKwSnbgPN,2
109,12s6xPDAUMj1Vx7mreU5irZy7noR491NAz,250.0,1.0,251.0,2.0,1.0,-1.0,12s6xPDAUMj1Vx7mreU5irZy7noR491NAz,2
113,12uZnY2CZeCrs5CUoyamP5yYkyuWQEqFgC,24.0,99.0,123.0,1.0,1.0,0.0,12uZnY2CZeCrs5CUoyamP5yYkyuWQEqFgC,2
114,12uqXPxTeE7vRYYEEQ2yLutkbB8Y6XdDmh,250.0,0.0,250.0,1.0,0.0,-1.0,12uqXPxTeE7vRYYEEQ2yLutkbB8Y6XdDmh,2
115,12vYXBWUydt6eAmDM4BrCX33ivbpostvr9,15.0,104.0,119.0,1.0,1.0,0.0,12vYXBWUydt6eAmDM4BrCX33ivbpostvr9,2
117,12xCzNtonBpX8Scdy24cHajxNc3a317BMG,16.0,99.0,115.0,1.0,1.0,0.0,12xCzNtonBpX8Scdy24cHajxNc3a317BMG,2
119,12xig7QjSh9FcPqH5QwVwikkWHZAbyLDSS,501.0,0.0,501.0,1.0,0.0,-1.0,12xig7QjSh9FcPqH5QwVwikkWHZAbyLDSS,2
123,12xvJGvfkW5aYdR7dwyBn6bLQJ5bhExxRz,501.0,0.0,501.0,1.0,0.0,-1.0,12xvJGvfkW5aYdR7dwyBn6bLQJ5bhExxRz,2
127,12zV1ib2j5mhtC6RpBGetiZSDG4bwCHKNC,92.0,65.0,157.0,1.0,1.0,0.0,12zV1ib2j5mhtC6RpBGetiZSDG4bwCHKNC,2
128,131VxMQ4rTj2NtZV6TyruuNZUyFZGZs4Ly,125.0,0.0,125.0,1.0,0.0,-1.0,131VxMQ4rTj2NtZV6TyruuNZUyFZGZs4Ly,2
130,132D6ey989yZA1NyiEU34DgGUjARPnwqp2,2.0,101.0,103.0,1.0,1.0,0.0,132D6ey989yZA1NyiEU34DgGUjARPnwqp2,2
131,132GBWUJdU34WQdfHUvhu9hrmndNkuYkEN,501.0,0.0,501.0,1.0,0.0,-1.0,132GBWUJdU34WQdfHUvhu9hrmndNkuYkEN,2
132,132pHur9isfgz6xCHcD3jNNti1UKE5CCYZ,19.0,101.0,120.0,1.0,1.0,0.0,132pHur9isfgz6xCHcD3jNNti1UKE5CCYZ,2
133,132rFhuVvgbZkubC3D1zK89a8CRtwncRdx,501.0,0.0,501.0,1.0,0.0,-1.0,132rFhuVvgbZkubC3D1zK89a8CRtwncRdx,2
134,1332UKHoet4xEZ8z3PGzaS9G9r87kc8n4Z,501.0,0.0,501.0,1.0,0.0,-1.0,1332UKHoet4xEZ8z3PGzaS9G9r87kc8n4Z,2
136,134BYxpo3wFxCbo3BTdXj2CghB2mYHnHAq,0.0,201.0,201.0,0.0,2.0,2.0,134BYxpo3wFxCbo3BTdXj2CghB2mYHnHAq,2
137,1357pJuW6koAsqT7X7h98jiqEq841YEgap,42.0,97.0,139.0,1.0,1.0,0.0,1357pJuW6koAsqT7X7h98jiqEq841YEgap,2
144,138VgMkmrXqngRvJqsKwzQLXHMDq9ScdQz,125.0,0.0,125.0,1.0,0.0,-1.0,138VgMkmrXqngRvJqsKwzQLXHMDq9ScdQz,2
145,139dSGLiukztCSJiU5vyn7mK1Xfa3sjDVG,215.0,0.0,215.0,1.0,0.0,-1.0,139dSGLiukztCSJiU5vyn7mK1Xfa3sjDVG,2
146,139gtShhgeRz9XRFo3q1YrT2v3VKME5iGQ,501.0,0.0,501.0,1.0,0.0,-1.0,139gtShhgeRz9XRFo3q1YrT2v3VKME5iGQ,2
147,139ih4FC7QQ3dWnQZmqPxPZh5UXz2Lr3NW,125.0,0.0,125.0,1.0,0.0,-1.0,139ih4FC7QQ3dWnQZmqPxPZh5UXz2Lr3NW,2
148,13ANBBZTzjn1WmMXav22YZCTduyz5E7fQd,501.0,0.0,501.0,1.0,0.0,-1.0,13ANBBZTzjn1WmMXav22YZCTduyz5E7fQd,2
149,13Ago3u9em4ypDn3Yv3BYpDf3RQMgKyU2i,19.0,104.0,123.0,1.0,2.0,1.0,13Ago3u9em4ypDn3Yv3BYpDf3RQMgKyU2i,2
153,13BiNxTqzugNEmhAEwk2DpyYiLqWP9tdem,0.0,138.0,138.0,0.0,1.0,1.0,13BiNxTqzugNEmhAEwk2DpyYiLqWP9tdem,2
154,13CNNvty5AwRQTsLAucB5jnDpCzEDTik1L,0.0,374.0,374.0,0.0,1.0,1.0,13CNNvty5AwRQTsLAucB5jnDpCzEDTik1L,2
155,13Dh9Dh8zhD9GDpyNkDtg25So7oMPsGBAh,215.0,0.0,215.0,1.0,0.0,-1.0,13Dh9Dh8zhD9GDpyNkDtg25So7oMPsGBAh,2
161,13GyUoKztxTMQ8AgptMuwCSigYJsYktTz5,501.0,0.0,501.0,1.0,0.0,-1.0,13GyUoKztxTMQ8AgptMuwCSigYJsYktTz5,2
162,13HBsQ7mh5KH1VboLJ8LQ8cugqRWnFJaXh,357.0,0.0,357.0,1.0,0.0,-1.0,13HBsQ7mh5KH1VboLJ8LQ8cugqRWnFJaXh,2
165,13HPz1zXj5sUk2UfJm7QKSPh3AGFrTDqpi,500.0,0.0,500.0,1.0,0.0,-1.0,13HPz1zXj5sUk2UfJm7QKSPh3AGFrTDqpi,2
167,13HeQe1AB6ADMUCieiLjp9g5FrXnKchVHn,0.0,104.0,104.0,0.0,1.0,1.0,13HeQe1AB6ADMUCieiLjp9g5FrXnKchVHn,2
170,13JkDdsk5LzZd7fa5F6CbKEPoM9w14xf73,2.0,100.0,102.0,1.0,1.0,0.0,13JkDdsk5LzZd7fa5F6CbKEPoM9w14xf73,2
171,13JvT12NeniowHQtp99wkVBTQmtGB11nGt,0.0,124.0,124.0,0.0,4.0,4.0,13JvT12NeniowHQtp99wkVBTQmtGB11nGt,2
176,13M3ttHxSAQtzDwnpMtHbZ6veCTXdw5CKM,249.0,0.0,249.0,1.0,0.0,-1.0,13M3ttHxSAQtzDwnpMtHbZ6veCTXdw5CKM,2
178,13MiQa5Lvr18Mim94A3x1n8mrTkbNdqjeD,0.0,104.0,104.0,0.0,1.0,1.0,13MiQa5Lvr18Mim94A3x1n8mrTkbNdqjeD,2
180,13MktVnkhZVx29mx41V43dNkK4eFTxrCqN,215.0,0.0,215.0,1.0,0.0,-1.0,13MktVnkhZVx29mx41V43dNkK4eFTxrCqN,2
182,13N5nix29VQ7XGyy95WdBNkBi3gy3LN7BB,0.0,111.0,111.0,0.0,3.0,3.0,13N5nix29VQ7XGyy95WdBNkBi3gy3LN7BB,2
183,13NHowG5ga1bwsPtZUnWc3XzKEtp1fZaXd,92.0,65.0,157.0,1.0,1.0,0.0,13NHowG5ga1bwsPtZUnWc3XzKEtp1fZaXd,2
186,13Pv5X7dBsQ2A94PqSHs4Z2MZ1Lo6wvG9s,185.0,0.0,185.0,2.0,0.0,-2.0,13Pv5X7dBsQ2A94PqSHs4Z2MZ1Lo6wvG9s,2
189,13RFsZWKVznUJJGqmG162nzxMaf2Jrk31o,250.0,0.0,250.0,1.0,0.0,-1.0,13RFsZWKVznUJJGqmG162nzxMaf2Jrk31o,2
190,13RRzZf8DSKDsbYfyCQykWW31VmqkGyKCq,4.0,99.0,103.0,1.0,1.0,0.0,13RRzZf8DSKDsbYfyCQykWW31VmqkGyKCq,2
192,13Tq6Cbxg1FgskPUGz5sYrGn8uUmBrghbA,501.0,0.0,501.0,1.0,0.0,-1.0,13Tq6Cbxg1FgskPUGz5sYrGn8uUmBrghbA,2
194,13VD4WwTZE6Y1TjY1mcT87sj9zfHXAsEBM,249.0,0.0,249.0,1.0,0.0,-1.0,13VD4WwTZE6Y1TjY1mcT87sj9zfHXAsEBM,2
196,13YwvunfU7gDEpTFmSdrVYHQxSbVzSk2Av,0.0,103.0,103.0,0.0,1.0,1.0,13YwvunfU7gDEpTFmSdrVYHQxSbVzSk2Av,2
197,13ZJtAcpBZPC4Enj6xSWjqCdMeokTeLozA,357.0,0.0,357.0,1.0,0.0,-1.0,13ZJtAcpBZPC4Enj6xSWjqCdMeokTeLozA,2
199,13aFdxPtrP1m3LMrb1dxpg9676ur62xi5j,0.0,190.0,190.0,0.0,2.0,2.0,13aFdxPtrP1m3LMrb1dxpg9676ur62xi5j,2
202,13c3hWwEDQ1t5XtNBPUWP8Mt1A8CGhi7Di,0.0,197.0,197.0,0.0,2.0,2.0,13c3hWwEDQ1t5XtNBPUWP8Mt1A8CGhi7Di,2
204,13dPAqbUDxFD4ctvhF3qwjG47hrEoKpREz,500.0,0.0,500.0,1.0,0.0,-1.0,13dPAqbUDxFD4ctvhF3qwjG47hrEoKpREz,2
205,13dZEYpZEjMQ5u1ZaAKiFGe3pqXtJCmE8B,249.0,0.0,249.0,1.0,0.0,-1.0,13dZEYpZEjMQ5u1ZaAKiFGe3pqXtJCmE8B,2
206,13diugpfLsnQf1LkM8AjkXjV9pmN1emekF,77.0,34.0,111.0,3.0,1.0,-2.0,13diugpfLsnQf1LkM8AjkXjV9pmN1emekF,2
208,13eYEGq3Jt4XTbNxKsUA7JwB8jSrk8Z7ww,357.0,0.0,357.0,1.0,0.0,-1.0,13eYEGq3Jt4XTbNxKsUA7JwB8jSrk8Z7ww,2
210,13ibCHFg5hypXwj1RPxYhV1a4SpaSkxbZR,125.0,0.0,125.0,1.0,0.0,-1.0,13ibCHFg5hypXwj1RPxYhV1a4SpaSkxbZR,2
212,13jLwCW1FfAiKfcAVJPGFP7yajPckAeByw,249.0,0.0,249.0,1.0,0.0,-1.0,13jLwCW1FfAiKfcAVJPGFP7yajPckAeByw,2
219,13nCPQehyLmY6iDGsEEA81rFASiKNRjpY5,995.0,0.0,995.0,2.0,0.0,-2.0,13nCPQehyLmY6iDGsEEA81rFASiKNRjpY5,2
221,13ndGAVyBrViyXzKxJQCkQo4ft4VvRdoEK,501.0,10.0,511.0,1.0,1.0,0.0,13ndGAVyBrViyXzKxJQCkQo4ft4VvRdoEK,2
222,13njSRSBjTwRtBFBuKgZcQZN3rZV6KD7bV,0.0,199.0,199.0,0.0,2.0,2.0,13njSRSBjTwRtBFBuKgZcQZN3rZV6KD7bV,2
223,13nqm392wvE59tVAjGKcAo2QF2WMFV5Swz,501.0,0.0,501.0,1.0,0.0,-1.0,13nqm392wvE59tVAjGKcAo2QF2WMFV5Swz,2
226,13pEHULvH5HBHHCidFWH7tDtkaPBdysVJk,501.0,0.0,501.0,1.0,0.0,-1.0,13pEHULvH5HBHHCidFWH7tDtkaPBdysVJk,2
227,13pGqwakXSZmWvRuUCRVsbtH9YhNncoK6U,249.0,0.0,249.0,1.0,0.0,-1.0,13pGqwakXSZmWvRuUCRVsbtH9YhNncoK6U,2
228,13pPVfrX3MBjcauogPmLUoaoE6d3A9577z,0.0,292.0,292.0,0.0,3.0,3.0,13pPVfrX3MBjcauogPmLUoaoE6d3A9577z,2
230,13rUmMBpLKhq43mNHXSZRQwjNGssmLm5Hw,23.0,99.0,122.0,1.0,1.0,0.0,13rUmMBpLKhq43mNHXSZRQwjNGssmLm5Hw,2
231,13rcwKagiz2swnd3mLkxps8nJJBoqeinr8,501.0,0.0,501.0,1.0,0.0,-1.0,13rcwKagiz2swnd3mLkxps8nJJBoqeinr8,2
232,13sLMYNyVeHJTFDiZceQ2nR6sRPpQ3TFXm,249.0,0.0,249.0,1.0,0.0,-1.0,13sLMYNyVeHJTFDiZceQ2nR6sRPpQ3TFXm,2
233,13sRiXVzn2eyQjs9pYvbdYo4Ckd6yCVhyw,501.0,0.0,501.0,1.0,0.0,-1.0,13sRiXVzn2eyQjs9pYvbdYo4Ckd6yCVhyw,2
235,13w8bbu3118TjkfXdFhAYVzFQUZkWSJt1e,500.0,0.0,500.0,1.0,0.0,-1.0,13w8bbu3118TjkfXdFhAYVzFQUZkWSJt1e,2
236,13wE8Bk8r5tEtzf3nr91Pd2fKThouQwYQs,251.0,0.0,251.0,2.0,0.0,-2.0,13wE8Bk8r5tEtzf3nr91Pd2fKThouQwYQs,2
238,13wx2J8JR47dri2haXLQj147BK4UGeKwKC,0.0,104.0,104.0,0.0,1.0,1.0,13wx2J8JR47dri2haXLQj147BK4UGeKwKC,2
241,141Nnjagt583GZxn3GZm3psbNF9WCF2E5W,501.0,0.0,501.0,1.0,0.0,-1.0,141Nnjagt583GZxn3GZm3psbNF9WCF2E5W,2
243,1422eDV3AjQxMEE4mBZP3yeg7xpXBPVU8R,0.0,104.0,104.0,0.0,1.0,1.0,1422eDV3AjQxMEE4mBZP3yeg7xpXBPVU8R,2
244,1423jwWXxxbMdcgR7Sf6Sw4xVSrrwhDYJb,2.0,129.0,131.0,1.0,1.0,0.0,1423jwWXxxbMdcgR7Sf6Sw4xVSrrwhDYJb,2
245,142J4B5krsULbKaukcYDpMhR6dvf1ecJCS,249.0,0.0,249.0,1.0,0.0,-1.0,142J4B5krsULbKaukcYDpMhR6dvf1ecJCS,2
246,142KhGbMrmoQ7b7VRv7pwYynhasY9F7kR9,249.0,0.0,249.0,1.0,0.0,-1.0,142KhGbMrmoQ7b7VRv7pwYynhasY9F7kR9,2
247,142TxyXbLRhPL8tee9bVMoBqUzGSToRuyJ,500.0,0.0,500.0,1.0,0.0,-1.0,142TxyXbLRhPL8tee9bVMoBqUzGSToRuyJ,2
249,144765WWNykaF6SGmExDrd1aksN9tRyUXt,500.0,0.0,500.0,1.0,0.0,-1.0,144765WWNykaF6SGmExDrd1aksN9tRyUXt,2
251,147RSjkdvXAdQT5J7hXCSmzRJnaJC7a5H6,125.0,0.0,125.0,1.0,0.0,-1.0,147RSjkdvXAdQT5J7hXCSmzRJnaJC7a5H6,2
253,148cGDTWjGWJEg7jhyJH2qVa3nCMZYH57b,125.0,0.0,125.0,1.0,0.0,-1.0,148cGDTWjGWJEg7jhyJH2qVa3nCMZYH57b,2
255,14976FEQamvwshWXbzW8kAs4xEUEB44w7B,500.0,0.0,500.0,1.0,0.0,-1.0,14976FEQamvwshWXbzW8kAs4xEUEB44w7B,2
256,1499orRjELGT7GjprUh5Rf8BUn5HLAoEyF,151.0,0.0,151.0,1.0,0.0,-1.0,1499orRjELGT7GjprUh5Rf8BUn5HLAoEyF,2
257,149R7hMKKU78PU1t2nqX22qtWAyR9R7A4Z,501.0,0.0,501.0,1.0,0.0,-1.0,149R7hMKKU78PU1t2nqX22qtWAyR9R7A4Z,2
258,149xCxwuePmntp89Fa1uYGgvQ7uvq2u1FJ,0.0,225.0,225.0,0.0,1.0,1.0,149xCxwuePmntp89Fa1uYGgvQ7uvq2u1FJ,2
263,14DPGhWP261H9dC91dLWjVXZsgmCX44oER,60.0,101.0,161.0,1.0,1.0,0.0,14DPGhWP261H9dC91dLWjVXZsgmCX44oER,2
265,14E4AowKidtVjqgrkrbSmwu7FrzfFCLFLF,501.0,4.0,505.0,1.0,1.0,0.0,14E4AowKidtVjqgrkrbSmwu7FrzfFCLFLF,2
266,14E8GqHtVYUsaddF9g8KxFfFNHEdCpRTUX,0.0,102.0,102.0,0.0,2.0,2.0,14E8GqHtVYUsaddF9g8KxFfFNHEdCpRTUX,2
269,14JrCRxBFu361yLbKpRMRCn59UxgvvTsin,357.0,0.0,357.0,1.0,0.0,-1.0,14JrCRxBFu361yLbKpRMRCn59UxgvvTsin,2
274,14Ni6kMXUbyRrJEXJxibR9qGKj7Pfq4y2C,501.0,0.0,501.0,1.0,0.0,-1.0,14Ni6kMXUbyRrJEXJxibR9qGKj7Pfq4y2C,2
275,14PL3tcotdE8CHC6rCMdu4zgcY7PZ3Kpsy,0.0,104.0,104.0,0.0,1.0,1.0,14PL3tcotdE8CHC6rCMdu4zgcY7PZ3Kpsy,2
276,14PYVnQEJf8hVohpgRE3dAaeR5h2MJytQv,125.0,0.0,125.0,1.0,0.0,-1.0,14PYVnQEJf8hVohpgRE3dAaeR5h2MJytQv,2
277,14QrbEkzstGnw1sZsDY4zTuHYdXtEo6ame,250.0,0.0,250.0,1.0,0.0,-1.0,14QrbEkzstGnw1sZsDY4zTuHYdXtEo6ame,2
278,14SifL9W3TCMgaWrwrp1C1bSAsx3UX3FRC,126.0,20.0,146.0,4.0,2.0,-2.0,14SifL9W3TCMgaWrwrp1C1bSAsx3UX3FRC,2
281,14TZCCLEM6npXrEturHNzfkHG7K4C7ySt4,94.0,69.0,163.0,2.0,2.0,0.0,14TZCCLEM6npXrEturHNzfkHG7K4C7ySt4,2
282,14Ta5UZBvUqcPc6RvXWAFMvkCTrL2UQd2X,249.0,0.0,249.0,1.0,0.0,-1.0,14Ta5UZBvUqcPc6RvXWAFMvkCTrL2UQd2X,2
284,14UZrrYi4scVFTSRY8dvrurvWi9bkbxdpq,113.0,3.0,116.0,2.0,2.0,0.0,14UZrrYi4scVFTSRY8dvrurvWi9bkbxdpq,2
287,14WN2MeA13Lo5Kbp2PqrzqXbrkCEewVmCc,0.0,104.0,104.0,0.0,1.0,1.0,14WN2MeA13Lo5Kbp2PqrzqXbrkCEewVmCc,2
288,14WQXimDP5Qagyszndw5N4jEq52fN1zhxz,991.0,0.0,991.0,2.0,0.0,-2.0,14WQXimDP5Qagyszndw5N4jEq52fN1zhxz,2
290,14WXJxzNZ31dymmFo4Q8ViQfm6Etvv7X5b,501.0,0.0,501.0,1.0,0.0,-1.0,14WXJxzNZ31dymmFo4Q8ViQfm6Etvv7X5b,2
291,14XKtp9xDFkrSobGzpnVtArcYWLuVPuLRe,125.0,0.0,125.0,1.0,0.0,-1.0,14XKtp9xDFkrSobGzpnVtArcYWLuVPuLRe,2
292,14XQKsWNoivuKX1vNGJt1ENfXXe5p2JY7F,2.0,195.0,197.0,1.0,5.0,4.0,14XQKsWNoivuKX1vNGJt1ENfXXe5p2JY7F,2
293,14XR9Ru6J5EbKHHmCXSPUT4Ldnxj1ycoct,0.0,109.0,109.0,0.0,4.0,4.0,14XR9Ru6J5EbKHHmCXSPUT4Ldnxj1ycoct,2
299,14ZB1cg4PtNUATibkXRZvdRRBBa1AzcFxK,101.0,4.0,105.0,2.0,2.0,0.0,14ZB1cg4PtNUATibkXRZvdRRBBa1AzcFxK,2
300,14Zf68eiy8gaGgfmB2YmBwSDG2nqcemnrd,500.0,0.0,500.0,1.0,0.0,-1.0,14Zf68eiy8gaGgfmB2YmBwSDG2nqcemnrd,2
302,14aiNV6miycnYAwmAfTNhDxDJukGDt6PdU,249.0,0.0,249.0,1.0,0.0,-1.0,14aiNV6miycnYAwmAfTNhDxDJukGDt6PdU,2
305,14bwrXnss2qMCfPn81maMyMvwr7RmdDmEY,0.0,302.0,302.0,0.0,3.0,3.0,14bwrXnss2qMCfPn81maMyMvwr7RmdDmEY,2
306,14co1D2GgrMvoUnSMUqwDCdEFgL4o2hXup,0.0,152.0,152.0,0.0,1.0,1.0,14co1D2GgrMvoUnSMUqwDCdEFgL4o2hXup,2
307,14crEKPeLSFn2kbXXTdcVSstqJjqALctys,125.0,0.0,125.0,1.0,0.0,-1.0,14crEKPeLSFn2kbXXTdcVSstqJjqALctys,2
308,14dCU1tszfvDpb42iFyzPrtS168DZpkv4W,501.0,0.0,501.0,1.0,0.0,-1.0,14dCU1tszfvDpb42iFyzPrtS168DZpkv4W,2
310,14ddgrCugiSW4DEjxPSpVcQ6WT2kXtcQcj,0.0,200.0,200.0,0.0,2.0,2.0,14ddgrCugiSW4DEjxPSpVcQ6WT2kXtcQcj,2
